MolecularWeight,IsomericSMILES,IUPACName,name
240.38700000000023,CCCCC=COC(=O)CCCCCCCC,,Hexenyl nonanoate
196.29000000000016,CC(=O)OCC1C=CC(C(C)C)CC1,,Tetrahydrocuminyl acetate
244.3310000000002,CCCCCCCCC(OC(C)=O)C(=O)OC,,Methyl acetoxydecanoate
198.30600000000015,CCCCC=COC(=O)C(C)CCC,,Hexenyl methylvalerate
148.27100000000013,CCCC(S)COCC,,Ethoxymethylbutanethiol
340.50399999999934,CCCCCCCC=CC(=O)OC(CCCCCCCC)C(=O)O,,Decenoyloxydecanoic acid
224.3440000000002,CCCCC=COC(=O)C=CCCCCC,,Hexenyl octenoate
188.33600000000015,CC(C)CC(C)(O)C1CCCS1,,Isopropylmethyltetrahydrothiophenyl-ethanol
174.2650000000001,CC(=S)OC1(C)OCCC1C,,Dimethyltetrahydrofuryl thioacetate
188.3110000000002,CCCCCC(OCC)OCCC,,Hexanal ethyl propyl acetal
194.2300000000001,CCCCC=COC(=O)c1ccco1,,Hexenyl furoate
182.26300000000012,CCC=CC(=O)OC=CCCCC,,Hexenyl pentenoate
148.2270000000001,CCCC(CS)OC=O,,Mercaptomethylbutyl formate
300.39499999999947,CCCCCCCCC(=O)C(=O)OC(=C(C)C)C(O)CO,,Isopropylideneglyceryl oxodecanoate
222.35000000000016,CCCC(CCOC)[SH]=C(O)OCC,,Ethyl S-(1-methoxyhexan-3-yl)carbonothioate
170.25200000000015,CC=CCOC(=O)C(C)CCC,,Methylallyl methylvalerate
212.28900000000016,CC1=C(OC(=O)CO)CC(C(C)C)CC1,,Hydroxyacetoxymenthene
206.26600000000008,Cc1coc(C(=O)c2cccs2)c1C,,Dimethylthiofuroylfuran
258.3580000000001,CCCCCCCCCCC(OC=O)C(=O)OC,,Methyl formyloxydodecanoate
212.3140000000001,CCCC(=O)CCSCc1ccco1,,Furfurylthiomethylpentanone
220.2680000000001,CCOC(=O)C1(c2ccccc2)OC1CC,,Ethyl ethylphenylglycidate
214.34900000000025,CCCCCCCCC=CC(OC)OC,,Undecenal dimethyl acetal
132.253,SCC1CC=CS1,,Mercaptomethyldihydrothiophene
188.3110000000002,CCCOC(CC)OC(C)CCC,,Propanal methylbutyl propyl acetal
226.3600000000002,CCCCCCCC=COC(=O)CC(C)C,,Nonenyl isovalerate
262.39300000000003,CCCCCCCCCC(=O)Oc1ccccc1C,,Tolyl decanoate
186.3200000000001,CC=CC1(C)CCOSC1(C)C,,Methylpropenyldimethyloxathiane
194.36500000000012,CCCSC(O)(CS)CCC,,Mercaptomethylpropylthiobutanol
164.2040000000001,CC(C)C=C(C=O)c1ccco1,,Isopropylfurylpropenal
228.37600000000023,CCCCC(C)C(C)(C)OC(=O)CC(C)C,,Trimethylhexyl isovalerate
246.3940000000002,CCCCCCCCC=CC=CC=CC=CC=O,,Heptadecatetraenal
